scenario_tag,task,task_encoding,bench_n_train,bench_n_test,bench_washout_macros,bench_hold_ns,log10_sim_budget,latency_euler_steps,motif,default_k,i_min,i_max,spacing_m,spacing_um,noise_on,I_th_A,lambda0_m,dt_ns,store_every,augment_input,metric,metric_name,maximize_metric,replicate_id,run_seed
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.4,1.3,4e-05,40.0,True,0.01735,8.5e-07,0.0005,400,True,0.9130434782608695,accuracy_test,True,0,0
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.4,1.3,4e-05,40.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,17
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.4,1.3,5e-05,50.0,True,0.01735,8.5e-07,0.0005,400,True,0.9130434782608695,accuracy_test,True,0,34
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.4,1.3,5e-05,50.0,False,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,51
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.4,1.3,6e-05,60.0,True,0.01735,8.5e-07,0.0005,400,True,0.9130434782608695,accuracy_test,True,0,68
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.4,1.3,6e-05,60.0,False,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,85
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.4,1.5,4e-05,40.0,True,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,102
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.4,1.5,4e-05,40.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,119
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.4,1.5,5e-05,50.0,True,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,136
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.4,1.5,5e-05,50.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,153
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.4,1.5,6e-05,60.0,True,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,170
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.4,1.5,6e-05,60.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,187
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.4,1.7,4e-05,40.0,True,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,204
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.4,1.7,4e-05,40.0,False,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,221
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.4,1.7,5e-05,50.0,True,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,238
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.4,1.7,5e-05,50.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,255
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.4,1.7,6e-05,60.0,True,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,272
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.4,1.7,6e-05,60.0,False,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,289
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.3,4e-05,40.0,True,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,306
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.3,4e-05,40.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,323
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.3,5e-05,50.0,True,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,340
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.3,5e-05,50.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,357
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.3,6e-05,60.0,True,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,374
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.3,6e-05,60.0,False,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,391
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.5,4e-05,40.0,True,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,408
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.5,4e-05,40.0,False,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,425
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.5,5e-05,50.0,True,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,442
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.5,5e-05,50.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,459
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.5,6e-05,60.0,True,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,476
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.5,6e-05,60.0,False,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,493
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.7,4e-05,40.0,True,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,510
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.7,4e-05,40.0,False,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,527
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.7,5e-05,50.0,True,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,544
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.7,5e-05,50.0,False,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,561
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.7,6e-05,60.0,True,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,578
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.7,6e-05,60.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,595
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.6,1.3,4e-05,40.0,True,0.01735,8.5e-07,0.0005,400,True,0.9130434782608695,accuracy_test,True,0,612
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.6,1.3,4e-05,40.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,629
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.6,1.3,5e-05,50.0,True,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,646
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.6,1.3,5e-05,50.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,663
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.6,1.3,6e-05,60.0,True,0.01735,8.5e-07,0.0005,400,True,0.9130434782608695,accuracy_test,True,0,680
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.6,1.3,6e-05,60.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,697
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.6,1.5,4e-05,40.0,True,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,714
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.6,1.5,4e-05,40.0,False,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,731
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.6,1.5,5e-05,50.0,True,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,748
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.6,1.5,5e-05,50.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,765
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.6,1.5,6e-05,60.0,True,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,782
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.6,1.5,6e-05,60.0,False,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,799
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.6,1.7,4e-05,40.0,True,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,816
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.6,1.7,4e-05,40.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,833
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.6,1.7,5e-05,50.0,True,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,850
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.6,1.7,5e-05,50.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,867
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.6,1.7,6e-05,60.0,True,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,884
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.6,1.7,6e-05,60.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,901
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.4,1.3,4e-05,40.0,True,0.01735,8.5e-07,0.0005,400,True,0.9130434782608695,accuracy_test,True,0,918
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.4,1.3,4e-05,40.0,False,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,935
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.4,1.3,5e-05,50.0,True,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,952
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.4,1.3,5e-05,50.0,False,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,969
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.4,1.3,6e-05,60.0,True,0.01735,8.5e-07,0.0005,400,True,0.9130434782608695,accuracy_test,True,0,986
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.4,1.3,6e-05,60.0,False,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,1003
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.4,1.5,4e-05,40.0,True,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,1020
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.4,1.5,4e-05,40.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,1037
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.4,1.5,5e-05,50.0,True,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,1054
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.4,1.5,5e-05,50.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,1071
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.4,1.5,6e-05,60.0,True,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,1088
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.4,1.5,6e-05,60.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,1105
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.4,1.7,4e-05,40.0,True,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,1122
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.4,1.7,4e-05,40.0,False,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,1139
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.4,1.7,5e-05,50.0,True,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,1156
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.4,1.7,5e-05,50.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,1173
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.4,1.7,6e-05,60.0,True,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,1190
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.4,1.7,6e-05,60.0,False,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,1207
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.5,1.3,4e-05,40.0,True,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,1224
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.5,1.3,4e-05,40.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,1241
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.5,1.3,5e-05,50.0,True,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,1258
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.5,1.3,5e-05,50.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,1275
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.5,1.3,6e-05,60.0,True,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,1292
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.5,1.3,6e-05,60.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,1309
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.5,1.5,4e-05,40.0,True,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,1326
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.5,1.5,4e-05,40.0,False,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,1343
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.5,1.5,5e-05,50.0,True,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,1360
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.5,1.5,5e-05,50.0,False,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,1377
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.5,1.5,6e-05,60.0,True,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,1394
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.5,1.5,6e-05,60.0,False,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,1411
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.5,1.7,4e-05,40.0,True,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,1428
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.5,1.7,4e-05,40.0,False,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,1445
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.5,1.7,5e-05,50.0,True,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,1462
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.5,1.7,5e-05,50.0,False,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,1479
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.5,1.7,6e-05,60.0,True,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,1496
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.5,1.7,6e-05,60.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,1513
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.6,1.3,4e-05,40.0,True,0.01735,8.5e-07,0.0005,400,True,0.9130434782608695,accuracy_test,True,0,1530
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.6,1.3,4e-05,40.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,1547
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.6,1.3,5e-05,50.0,True,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,1564
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.6,1.3,5e-05,50.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,1581
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.6,1.3,6e-05,60.0,True,0.01735,8.5e-07,0.0005,400,True,0.9130434782608695,accuracy_test,True,0,1598
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.6,1.3,6e-05,60.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,1615
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,12.0,0.6,1.5,4e-05,40.0,True,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,1632
